Part ID,部品名,色,完成品組込数,試験用推奨数,最大X mm,最大Y mm,最大Z mm,組立工程,配置ID,STL,STEP
T01,台座・背板ソケット・共通24スタッド,黒,1,0,176.0,96.0,41.6,1,stand,meshes/T01.stl,native/parts/T01.step
T02,背板と差込舌,白,1,0,160.0,192.0,7.4,2,board,meshes/T02.stl,native/parts/T02.step
T03,緑の足場,緑,1,0,112.0,16.0,3.2,3,ground,meshes/T03.stl,native/parts/T03.step
T04,赤い服と腕,赤,1,0,84.0,44.0,3.2,4,jacket,meshes/T04.stl,native/parts/T04.step
T05,青いつなぎ,青,1,0,40.0,40.0,4.8,4,overalls,meshes/T05.stl,native/parts/T05.step
T06,足,肌色,2,0,16.0,8.0,3.2,4,"foot-left,foot-right",meshes/T06.stl,native/parts/T06.step
T07,猫の耳・輪郭・支持付きひげ,黒,1,0,144.0,72.0,4.2,5,head,meshes/T07.stl,native/parts/T07.step
T08,顔と鼻,肌色,1,0,88.0,32.0,5.6,6,face,meshes/T08.stl,native/parts/T08.step
T09,目の白い土台,白,2,0,16.0,24.0,2.4,7,"eye-left,eye-right",meshes/T09.stl,native/parts/T09.step
T10,青い虹彩,青,2,0,8.0,14.0,1.6,7,"iris-left,iris-right",meshes/T10.stl,native/parts/T10.step
T11,黒い瞳,黒,2,0,3.2,8.0,1.2,7,"pupil-left,pupil-right",meshes/T11.stl,native/parts/T11.step
T12,口ひげ,黒,1,0,24.0,8.0,1.6,7,moustache,meshes/T12.stl,native/parts/T12.step
T13,手,白,2,0,12.0,12.0,3.2,4,"hand-left,hand-right",meshes/T13.stl,native/parts/T13.step
T14,赤い段差帽子,赤,1,0,120.0,32.0,4.8,8,hat,meshes/T14.stl,native/parts/T14.step
T15,帽子の白い丸,白,1,0,16.0,16.0,2.4,8,badge,meshes/T15.stl,native/parts/T15.step
T16,帽子のM,赤,1,0,10.0,10.0,1.6,8,letter-m,meshes/T16.stl,native/parts/T16.step
T17,足場の丸タイル,薄緑,4,0,8.0,8.0,1.6,3,"spot-left-outer,spot-left-inner,spot-right-inner,spot-right-outer",meshes/T17.stl,native/parts/T17.step
T18,つなぎのボタン,白,2,0,3.2,3.2,1.2,4,"button-left,button-right",meshes/T18.stl,native/parts/T18.step
MSG-DOCK,共通メッセージドック,黒,1,0,95.8,15.8,9.6,9,message-dock,meshes/MSG-DOCK.stl,native/parts/MSG-DOCK.step
MSG-CARD,交換文字カード,白,1,0,88.0,24.0,2.6,10,message-card,meshes/MSG-CARD.stl,native/parts/MSG-CARD.step
FIT-M-D470,共通嵌合試験片,黒,0,1,31.8,15.8,5.0,0 試験,,meshes/FIT-M-D470.stl,native/parts/FIT-M-D470.step
FIT-M-D480,共通嵌合試験片,黒,0,1,31.8,15.8,5.0,0 試験,,meshes/FIT-M-D480.stl,native/parts/FIT-M-D480.step
FIT-M-D490,共通嵌合試験片,黒,0,1,31.8,15.8,5.0,0 試験,,meshes/FIT-M-D490.stl,native/parts/FIT-M-D490.step
FIT-F-CM04,共通嵌合試験片,黒,0,1,31.8,15.8,9.6,0 試験,,meshes/FIT-F-CM04.stl,native/parts/FIT-F-CM04.step
FIT-F-CP00,共通嵌合試験片,黒,0,1,31.8,15.8,9.6,0 試験,,meshes/FIT-F-CP00.stl,native/parts/FIT-F-CP00.step
FIT-F-CP04,共通嵌合試験片,黒,0,1,31.8,15.8,9.6,0 試験,,meshes/FIT-F-CP04.stl,native/parts/FIT-F-CP04.step
FIT-F-CP08,共通嵌合試験片,黒,0,1,31.8,15.8,9.6,0 試験,,meshes/FIT-F-CP08.stl,native/parts/FIT-F-CP08.step
FIT-F-CP12,共通嵌合試験片,黒,0,1,31.8,15.8,9.6,0 試験,,meshes/FIT-F-CP12.stl,native/parts/FIT-F-CP12.step
T90,背板ソケット試験片 A–D,黒,0,1,64.0,24.0,12.8,0 試験,,meshes/T90.stl,native/parts/T90.step
T91,背板厚6.4の試験舌,黒,0,1,14.0,24.0,6.4,0 試験,,meshes/T91.stl,native/parts/T91.step
T92,色タイル位置決め試験台,黒,0,1,20.0,12.0,4.2,0 試験,,meshes/T92.stl,native/parts/T92.step
T93,色タイル試験蓋,黒,0,1,20.0,12.0,2.4,0 試験,,meshes/T93.stl,native/parts/T93.step
