part,color,quantity,stl,finish_color,color_change_z_mm
BASE3-03x08-T-48de52,black,2,parts/BASE3-03x08-T-48de52.stl,,
BASE3-03x08-T-80e081,black,2,parts/BASE3-03x08-T-80e081.stl,,
BASE3-06x08-T-7532db,black,2,parts/BASE3-06x08-T-7532db.stl,,
BASE3-06x08-T-7f51dc,black,2,parts/BASE3-06x08-T-7f51dc.stl,,
BASE3-06x08-T-9cb610,black,4,parts/BASE3-06x08-T-9cb610.stl,,
BASE3-06x08-T-b8aa05,black,2,parts/BASE3-06x08-T-b8aa05.stl,,
BASE3-18x08-B-a4853c,black,1,parts/BASE3-18x08-B-a4853c.stl,,
BR-01x02-H096,green,6,parts/BR-01x02-H096.stl,,
BR-02x02-H096,black,13,parts/BR-02x02-H096.stl,,
BR-02x03-H096,cyan,14,parts/BR-02x03-H096.stl,,
BR-02x03-H096,magenta,12,parts/BR-02x03-H096.stl,,
BR-03x02-H096,black,6,parts/BR-03x02-H096.stl,,
BR-04x02-H032,magenta,1,parts/BR-04x02-H032.stl,,
BR-04x02-H096,black,9,parts/BR-04x02-H096.stl,,
BR-04x02-H096,magenta,2,parts/BR-04x02-H096.stl,,
BR-04x03-H096,cyan,8,parts/BR-04x03-H096.stl,,
NP3-KEEPER,black,3,parts/NP3-KEEPER.stl,,
NP3-LOGO-A,black,1,parts/NP3-LOGO-A.stl,white,2.8
NP3-TEXT-A,black,1,parts/NP3-TEXT-A.stl,white,2.4
