part,color,quantity,stl
BR-01x06-H096,green,10,parts/BR-01x06-H096.stl
BR-02x06-H064,magenta,1,parts/BR-02x06-H064.stl
BR-02x06-H096,black,36,parts/BR-02x06-H096.stl
BR-02x07-H096,magenta,1,parts/BR-02x07-H096.stl
BR-02x08-H096,cyan,29,parts/BR-02x08-H096.stl
BR-02x10-H096,magenta,22,parts/BR-02x10-H096.stl
BR-03x06-H096,black,6,parts/BR-03x06-H096.stl
BR-04x06-H064,magenta,2,parts/BR-04x06-H064.stl
BR-04x06-H096,black,68,parts/BR-04x06-H096.stl
BR-04x07-H096,magenta,3,parts/BR-04x07-H096.stl
BR-04x08-H096,cyan,17,parts/BR-04x08-H096.stl
BR-05x06-H096,black,4,parts/BR-05x06-H096.stl
BR-15x14-H096,black,2,parts/BR-15x14-H096.stl
MSG-CARD,cyan,1,parts/MSG-CARD.stl
MSG-DOCK,black,1,parts/MSG-DOCK.stl
