Part ID,部品名,色,分類,完成品組込数,試験用推奨数,工具数,最大X mm,最大Y mm,最大Z mm,組立工程,配置ID,STL,STEP
T01,台座・背板ソケット・共通24スタッド,黒,assembly,1,0,0,176.0,96.0,41.6,8,stand,meshes/T01.stl,native/parts/T01.step
IN-G-8x1,8×1 フランジ付き色インサート,緑,assembly,1,0,0,63.6,7.6,8.0,2,tile-001,meshes/IN-G-8x1.stl,native/parts/IN-G-8x1.step
IN-G-4x1,4×1 フランジ付き色インサート,緑,assembly,2,0,0,31.6,7.6,8.0,2,"tile-002,tile-007",meshes/IN-G-4x1.stl,native/parts/IN-G-4x1.step
IN-G-1x1,1×1 フランジ付き色インサート,緑,assembly,2,0,0,7.6,7.6,8.0,2,"tile-003,tile-011",meshes/IN-G-1x1.stl,native/parts/IN-G-1x1.step
IN-L-1x1,1×1 フランジ付き色インサート,薄緑,assembly,4,0,0,7.6,7.6,9.6,2,"tile-004,tile-006,tile-008,tile-010",meshes/IN-L-1x1.stl,native/parts/IN-L-1x1.step
IN-G-2x2,2×2 フランジ付き色インサート,緑,assembly,2,0,0,15.6,15.6,8.0,2,"tile-005,tile-009",meshes/IN-G-2x2.stl,native/parts/IN-G-2x2.step
IN-S-2x1,2×1 フランジ付き色インサート,肌色,assembly,2,0,0,15.6,7.6,9.6,2,"tile-012,tile-014",meshes/IN-S-2x1.stl,native/parts/IN-S-2x1.step
IN-G-2x1,2×1 フランジ付き色インサート,緑,assembly,1,0,0,15.6,7.6,8.0,2,tile-013,meshes/IN-G-2x1.stl,native/parts/IN-G-2x1.step
IN-B-2x4,2×4 フランジ付き色インサート,青,assembly,3,0,0,15.6,31.6,9.6,2,"tile-015,tile-016,tile-020",meshes/IN-B-2x4.stl,native/parts/IN-B-2x4.step
IN-W-2x1,2×1 フランジ付き色インサート,白,assembly,1,0,0,15.6,7.6,8.8,2,tile-017,meshes/IN-W-2x1.stl,native/parts/IN-W-2x1.step
IN-W-1x1,1×1 フランジ付き色インサート,白,assembly,3,0,0,7.6,7.6,8.8,2,"tile-018,tile-024,tile-025",meshes/IN-W-1x1.stl,native/parts/IN-W-1x1.step
IN-R-1x4,1×4 フランジ付き色インサート,赤,assembly,1,0,0,7.6,31.6,9.6,2,tile-019,meshes/IN-R-1x4.stl,native/parts/IN-R-1x4.step
IN-R-1x3,1×3 フランジ付き色インサート,赤,assembly,1,0,0,7.6,23.6,9.6,2,tile-021,meshes/IN-R-1x3.stl,native/parts/IN-R-1x3.step
IN-R-3x1,3×1 フランジ付き色インサート,赤,assembly,1,0,0,23.6,7.6,9.6,2,tile-022,meshes/IN-R-3x1.stl,native/parts/IN-R-3x1.step
IN-B-1x1,1×1 フランジ付き色インサート,青,assembly,4,0,0,7.6,7.6,9.6,2,"tile-023,tile-026,tile-029,tile-030",meshes/IN-B-1x1.stl,native/parts/IN-B-1x1.step
IN-W-2x2,2×2 フランジ付き色インサート,白,assembly,1,0,0,15.6,15.6,8.8,2,tile-027,meshes/IN-W-2x2.stl,native/parts/IN-W-2x2.step
IN-R-2x1,2×1 フランジ付き色インサート,赤,assembly,2,0,0,15.6,7.6,9.6,2,"tile-028,tile-055",meshes/IN-R-2x1.stl,native/parts/IN-R-2x1.step
IN-R-1x1,1×1 フランジ付き色インサート,赤,assembly,1,0,0,7.6,7.6,9.6,2,tile-031,meshes/IN-R-1x1.stl,native/parts/IN-R-1x1.step
IN-R-4x1,4×1 フランジ付き色インサート,赤,assembly,2,0,0,31.6,7.6,9.6,2,"tile-032,tile-057",meshes/IN-R-4x1.stl,native/parts/IN-R-4x1.step
IN-K-4x2,4×2 フランジ付き色インサート,黒,assembly,1,0,0,31.6,15.6,8.8,2,tile-033,meshes/IN-K-4x2.stl,native/parts/IN-K-4x2.step
IN-K-1x1,1×1 フランジ付き色インサート,黒,assembly,5,0,0,7.6,7.6,8.8,2,"tile-034,tile-040,tile-042,tile-059,tile-061",meshes/IN-K-1x1.stl,native/parts/IN-K-1x1.step
IN-S-3x1,3×1 フランジ付き色インサート,肌色,assembly,2,0,0,23.6,7.6,9.6,2,"tile-035,tile-037",meshes/IN-S-3x1.stl,native/parts/IN-S-3x1.step
